Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Location 1,08/10/2020 9:35:05,10-Aug-20,9:35,Morning,1,Weekday,26.11,64.38,16.5,21,21.5,59.35,1.42025,52.91,1.423297,100710.3,45.392312,-75.721466,,,PM2.5[ug/m^3],30,1-3 low,2.25,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/06/20 8:43,6-Sep-20,8:43,Morning,7,Weekend,19.31,55.2,0.5,1.2,2.3,68.99,32538.7,-7.17,32586.3,101300.6,45.392312,-75.721466,,,PM10.0[ug/m^3],50,4-6 moderate,1.5,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
,8/28/20 16:19,28-Aug-20,16:19,Afternoon,5,Weekend,25.97,42.25,1,1.8,2.6,101.66,32463.3,154.82,32480.6,100169.1,45.392312,-75.721466,,,O3[ppb],80,7-10 high,2.25,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.392312,-75.721466,,,NO2[ppb],200,>10 very high,,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,22.71,59.79,8.5,11.1,11.9,64.17,16270.06013,22.87,16293.86165,101005.45,45.392312,-75.721466,,,O3[ppb],less than 26.67,1,1.875,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,25.97,42.25,1,1.8,2.6,101.66,32463.3,154.82,32480.6,100169.1,45.392312,-75.721466,,,,less than 53.33,2,2.25,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,26.11,64.38,16.5,21,21.5,59.35,1.42025,52.91,1.423297,100710.3,45.392312,-75.721466,,,,less than 80,3,2.25,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,22.64,48.725,0.75,1.5,2.45,85.325,32501,73.825,32533.45,100734.85,45.392312,-75.721466,,,,less than 106.68,4,1.875,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.79666667,53.94333333,6,8,8.8,76.66666667,21667.80675,66.85333333,21689.4411,100726.6667,45.392312,-75.721466,,,,less than 133.35,5,2.0625,The Ottawa Hospital - Civic Campus,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,08/10/2020 9:35:05,10-Aug-20,9:35,Morning,1,Weekday,24.46,67.885,14.5,17.5,19.25,51.27,1.42025,23.33,1.423547,100746.5,45.393154,-75.725832,,,,less than 160,6,1.75,Ruskin/Hamilton,Site B,Low Risk,,,,,,,,,,,,,,
,9/06/20 8:53,6-Sep-20,8:53,Morning,7,Weekend,16.2,64.98,1.5,2.3,2.7,33.06,32563.8,-43.02,32601.9,101387.2,45.393154,-75.725832,,,,less than 186.67,7,1.25,Ruskin/Hamilton,Site B,Low Risk,,,,,,,,,,,,,,
,8/28/20 16:25,28-Aug-20,16:25,Afternoon,5,Weekend,24.56,45.41,1.2,2.1,2.2,61,32491.4,109.87,32498.6,100203.6,45.393154,-75.725832,,,,less than 213.36,8,1.75,Ruskin/Hamilton,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.393154,-75.725832,,,,less than 240,9,,Ruskin/Hamilton,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,20.33,66.4325,8,9.9,10.975,42.165,16282.61013,-9.845,16301.66177,101066.85,45.393154,-75.725832,,,,less than 266.67,10,1.5,Ruskin/Hamilton,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,24.56,45.41,1.2,2.1,2.2,61,32491.4,109.87,32498.6,100203.6,45.393154,-75.725832,,,,more than 266.67,>10,1.75,Ruskin/Hamilton,Site B,Low Risk,,,,,,,,,,,,,,
