Type,Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Date ,Time,Location,AQ in map,Description,Site
Location 1,08/10/2020 9:35:05,26.11,64.38,16.5,21,21.5,59.35,1.42025,52.91,1.423297,100710.3,45.392312,-75.721466,,,PM2.5[ug/m^3],30,1,1,10-Aug-20,9:35:05 AM,The Ottawa Hospital - Civic Campus,Low Risk,,Bad
Bad site,,,,,,,,,,,,,,,,PM10.0[ug/m^3],50,2,,,,The Ottawa Hospital - Civic Campus,Low Risk,,Bad
,,,,,,,,,,,,,,,,O3[ppb],80,3,,,,The Ottawa Hospital - Civic Campus,Low Risk,,Bad
,,,,,,,,,,,,,,,,NO2[ppb],200,4,,,,The Ottawa Hospital - Civic Campus,Low Risk,,Bad
Average,,26.11,64.38,16.5,21,21.5,59.35,1.42025,52.91,1.423297,100710.3,45.392312,-75.721466,,,,,5,,,,The Ottawa Hospital - Civic Campus,Low Risk,,Bad
Good Site,08/10/2020 9:35:05,24.46,67.885,14.5,17.5,19.25,51.27,1.42025,23.33,1.423547,100746.5,"45.393154, -75.725832",,,,,,6,1,10-Aug-20,9:28:40 AM,Ruskin/Hamilton,Low Risk,,Good
,,,,,,,,,,,,,,,,,,7,,,,Ruskin/Hamilton,Low Risk,,Good
,,,,,,,,,,,,,,,,,,8,,,,Ruskin/Hamilton,Low Risk,,Good
,,,,,,,,,,,,,,,,,,9,,,,Ruskin/Hamilton,Low Risk,,Good
Average,,24.46,67.885,14.5,17.5,19.25,51.27,1.42025,23.33,1.423547,100746.5,45.393154,-75.725832,,,,,10,,,,Ruskin/Hamilton,Low Risk,,Good
Location 2,08/11/2020 8:56:03,26.67,68.43,14.5,19.5,20,99.46,1.419578,35.63,1.423477,99716.9,45.300498,-75.88536,,,,,,7,11-Aug-20,8:56:03 AM,Fairfield Manor Retirement Residence,High Risk,O3 level higher than standard,Bad
Bad site,08/23/2020 9:39:01,31.5,49.06,7.4,10,10.9,-42.12,32562.1,34.96,32528.4,100299.5,45.300498,-75.88536,,,,,,2,23-Aug-20,9:39:01 AM,Fairfield Manor Retirement Residence,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Fairfield Manor Retirement Residence,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Fairfield Manor Retirement Residence,Low Risk,,Bad
Average,,29.085,58.745,10.95,14.75,15.45,28.67,16281.75979,35.295,16264.91174,100008.2,45.300498,-75.88536,,,,,,,,,Fairfield Manor Retirement Residence,Low Risk,,Bad
Good Site,08/23/2020 9:44:41,28.8,54.965,10.8,14.4,14.9,-21.785,32548.55,149.82,32482.35,100353.75,45.303757,-75.888051,,,,,,2,23-Aug-20,9:44:41 AM,Shearer Crescent,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,23-Aug-20,,Shearer Crescent,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Shearer Crescent,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Shearer Crescent,Low Risk,,Good
Average,,28.8,54.965,10.8,14.4,14.9,-21.785,32548.55,149.82,32482.35,100353.75,45.303757,-75.888051,,,,,,,,,Shearer Crescent,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Shearer Crescent,Low Risk,,Good
Location 3,08/15/2020 10:34:02,26.57,47.57,4.53,6.63,7.4,23.48,32591.97,-19.12,32583.67,101153.53,45.410553,-75.686838,,,,,,1,15-Aug-20,10:34:02 AM,Isabella/Pretoria - Villagia in the Glebe,Low Risk,,Bad
Bad site,08/24/2020 16:49:54,29.35,54.09,11.2,15.8,16.7,68.99,32538,117.12,32534.7,100289.2,45.410553,-75.686838,,,,,,2,24-Aug-20,4:49:54 PM,Isabella/Pretoria - Villagia in the Glebe,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Isabella/Pretoria - Villagia in the Glebe,Low Risk,,Bad
